County,Education,Death Rate
"Jefferson County, AL",9th through 12th grade with no diploma,13.14
"Jefferson County, AL",High school graduate or GED completed,10.32
"Jefferson County, AL","Some college credit, but not a degree",12.27
"Jefferson County, AL","Associate degree (AA, AS)",9.9
"Jefferson County, AL","Bachelor's degree (BA, AB, BS)",7.18
"Jefferson County, AL","Master's degree (MA, MS)",4.89
"Jefferson County, AL",Excluded,11.15
"Madison County, AL",9th through 12th grade with no diploma,18.97
"Madison County, AL",High school graduate or GED completed,8.35
"Madison County, AL","Some college credit, but not a degree",10.5
"Madison County, AL","Bachelor's degree (BA, AB, BS)",4.13
"Madison County, AL",Excluded,8.04
"Mobile County, AL",9th through 12th grade with no diploma,12.31
"Mobile County, AL",High school graduate or GED completed,9.82
"Mobile County, AL","Some college credit, but not a degree",9.3
"Mobile County, AL",Excluded,8.84
"Unidentified Counties, AL",8th grade or less,6.01
"Unidentified Counties, AL",9th through 12th grade with no diploma,11.53
"Unidentified Counties, AL",High school graduate or GED completed,9.31
"Unidentified Counties, AL","Some college credit, but not a degree",7.32
"Unidentified Counties, AL","Associate degree (AA, AS)",5.1
"Unidentified Counties, AL","Bachelor's degree (BA, AB, BS)",4.94
"Unidentified Counties, AL","Master's degree (MA, MS)",5.17
"Unidentified Counties, AL",Excluded,8.77
"Anchorage Borough, AK",9th through 12th grade with no diploma,15.94
"Anchorage Borough, AK",High school graduate or GED completed,7.34
"Anchorage Borough, AK","Some college credit, but not a degree",4.82
"Anchorage Borough, AK",Excluded,4.72
"Unidentified Counties, AK",9th through 12th grade with no diploma,10.36
"Unidentified Counties, AK",High school graduate or GED completed,6.35
"Unidentified Counties, AK","Some college credit, but not a degree",7.44
"Unidentified Counties, AK","Associate degree (AA, AS)",6.27
"Unidentified Counties, AK",Excluded,5.86
"Maricopa County, AZ",8th grade or less,5.44
"Maricopa County, AZ",9th through 12th grade with no diploma,6.68
"Maricopa County, AZ",High school graduate or GED completed,6.29
"Maricopa County, AZ","Some college credit, but not a degree",5.64
"Maricopa County, AZ","Associate degree (AA, AS)",4.68
"Maricopa County, AZ","Bachelor's degree (BA, AB, BS)",3.71
"Maricopa County, AZ","Master's degree (MA, MS)",3.54
"Maricopa County, AZ",Unknown/Not on certificate,20.94
"Maricopa County, AZ",Excluded,5.96
"Pima County, AZ",9th through 12th grade with no diploma,5.38
"Pima County, AZ",High school graduate or GED completed,5.06
"Pima County, AZ","Some college credit, but not a degree",4.33
"Pima County, AZ","Bachelor's degree (BA, AB, BS)",3.31
"Pima County, AZ",Excluded,6.2
"Pinal County, AZ",9th through 12th grade with no diploma,8.29
"Pinal County, AZ",High school graduate or GED completed,4.48
"Pinal County, AZ","Some college credit, but not a degree",5.46
"Unidentified Counties, AZ",8th grade or less,8.22
"Unidentified Counties, AZ",9th through 12th grade with no diploma,6.74
"Unidentified Counties, AZ",High school graduate or GED completed,6.32
"Unidentified Counties, AZ","Some college credit, but not a degree",5.96
"Unidentified Counties, AZ","Associate degree (AA, AS)",5.79
"Unidentified Counties, AZ","Bachelor's degree (BA, AB, BS)",3.64
"Unidentified Counties, AZ",Excluded,6.61
"Pulaski County, AR",9th through 12th grade with no diploma,14.34
"Pulaski County, AR",High school graduate or GED completed,8.94
"Pulaski County, AR","Some college credit, but not a degree",7.36
"Pulaski County, AR","Bachelor's degree (BA, AB, BS)",4.44
"Pulaski County, AR",Excluded,8.38
"Unidentified Counties, AR",8th grade or less,3.9
"Unidentified Counties, AR",9th through 12th grade with no diploma,8.32
"Unidentified Counties, AR",High school graduate or GED completed,9.33
"Unidentified Counties, AR","Some college credit, but not a degree",7.42
"Unidentified Counties, AR","Associate degree (AA, AS)",4.04
"Unidentified Counties, AR","Bachelor's degree (BA, AB, BS)",3.82
"Unidentified Counties, AR","Master's degree (MA, MS)",3.05
"Unidentified Counties, AR",Unknown/Not on certificate,51.33
"Unidentified Counties, AR",Excluded,7.46
"Alameda County, CA",8th grade or less,3.41
"Alameda County, CA",9th through 12th grade with no diploma,6.3
"Alameda County, CA",High school graduate or GED completed,5.21
"Alameda County, CA","Some college credit, but not a degree",4.3
"Alameda County, CA","Associate degree (AA, AS)",4.76
"Alameda County, CA","Bachelor's degree (BA, AB, BS)",3.03
"Alameda County, CA","Master's degree (MA, MS)",2.28
"Alameda County, CA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2.98
"Alameda County, CA",Unknown/Not on certificate,8.27
"Contra Costa County, CA",8th grade or less,4.87
"Contra Costa County, CA",9th through 12th grade with no diploma,5.22
"Contra Costa County, CA",High school graduate or GED completed,5.36
"Contra Costa County, CA","Some college credit, but not a degree",4.24
"Contra Costa County, CA","Associate degree (AA, AS)",3.65
"Contra Costa County, CA","Bachelor's degree (BA, AB, BS)",2.57
