Race,Race Code,Education,Death Rate
Black or African American,2054-5,8th grade or less,9.04
Black or African American,2054-5,9th  - 12th grade,12.59
Black or African American,2054-5,HS or GED,11.62
Black or African American,2054-5,Some college credit,10.28
Black or African American,2054-5,Associate degree,9.8
Black or African American,2054-5,Bachelor's degree,8.18
Black or African American,2054-5,Master's degree,7.86
Black or African American,2054-5,Doctorate degree,6.2
Black or African American,2054-5,Unknown/Not on certificate,37.67
Black or African American,2054-5,Excluded,12.1
