"Notes"	"Age of Infant at Death"	"Age of Infant at Death Code"	"Cause of death"	"Cause of death Code"	Deaths	Births	Death Rate
	"Under 1 hour"	"01"	"Listeriosis, unspecified"	"A32.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other bacterial infections of unspecified site"	"A49.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Bacterial infection, unspecified"	"A49.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Congenital syphilis, unspecified"	"A50.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Chlamydial infection, unspecified"	"A74.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Disseminated herpesviral disease"	"B00.7"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other and unspecified infectious diseases"	"B99"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Brain stem - Malignant neoplasms"	"C71.7"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Head, face and neck - Malignant neoplasms"	"C76.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Malignant neoplasm without specification of site"	"C80"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Haemangioma, any site - Benign neoplasms"	"D18.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Lymphangioma, any site - Benign neoplasms"	"D18.1"	12	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Connective and other soft tissue, unspecified - Benign neoplasms"	"D21.9"	6	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Leiomyoma of uterus, unspecified - Benign neoplasms"	"D25.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Lip, oral cavity and pharynx - Uncertain neoplasms"	"D37.0"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	8	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Bone and articular cartilage - Uncertain neoplasms"	"D48.0"	12	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Skin - Uncertain neoplasms"	"D48.5"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified sites - Uncertain neoplasms"	"D48.7"	6	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	7	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Alpha thalassaemia"	"D56.0"	4	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other haemoglobinopathies"	"D58.2"	4	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Hereditary haemolytic anaemia, unspecified"	"D58.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other autoimmune haemolytic anaemias"	"D59.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Coagulation defect, unspecified"	"D68.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other primary thrombocytopenia"	"D69.4"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Di George syndrome"	"D82.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Short stature, not elsewhere classified"	"E34.3"	13	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Disorders of fatty-acid metabolism"	"E71.3"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other sphingolipidosis"	"E75.2"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Disorders of iron metabolism"	"E83.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Disorders of phosphorus metabolism"	"E83.3"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Volume depletion"	"E86"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Acidosis"	"E87.2"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Metabolic disorder, unspecified"	"E88.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Encephalitis, myelitis and encephalomyelitis, unspecified"	"G04.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"	"G12.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Muscular dystrophy"	"G71.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Myotonic disorders"	"G71.1"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Congenital myopathies"	"G71.2"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Hydrocephalus, unspecified"	"G91.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Encephalopathy, unspecified"	"G93.4"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified disorders of brain"	"G93.8"	6	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Disorder of central nervous system, unspecified"	"G96.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other disorders of nervous system, not elsewhere classified"	"G98"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Choroidal haemorrhage and rupture"	"H31.3"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Acute myocardial infarction, unspecified"	"I21.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other forms of acute ischaemic heart disease"	"I24.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Atherosclerotic heart disease"	"I25.1"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Pulmonary heart disease, unspecified"	"I27.9"	4	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Acute nonspecific idiopathic pericarditis"	"I30.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Disease of pericardium, unspecified"	"I31.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other hypertrophic cardiomyopathy"	"I42.2"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Endocardial fibroelastosis"	"I42.4"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Cardiomyopathy, unspecified"	"I42.9"	6	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified conduction disorders"	"I45.8"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Sudden cardiac death, so described"	"I46.1"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Cardiac arrest, unspecified"	"I46.9"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Cardiac arrhythmia, unspecified"	"I49.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Myocarditis, unspecified"	"I51.4"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Cardiovascular disease, unspecified"	"I51.6"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Cardiomegaly"	"I51.7"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other ill-defined heart diseases"	"I51.8"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Heart disease, unspecified"	"I51.9"	3	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Generalized and unspecified atherosclerosis"	"I70.9"	12	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Arteritis, unspecified"	"I77.6"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Phlebitis and thrombophlebitis of unspecified site"	"I80.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Embolism and thrombosis of renal vein"	"I82.3"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Embolism and thrombosis of unspecified vein"	"I82.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Lymphoedema, not elsewhere classified"	"I89.0"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Pneumonia, unspecified"	"J18.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Hypertrophy of adenoids"	"J35.2"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Stenosis of larynx"	"J38.6"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other diseases of pharynx"	"J39.2"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other specified diseases of upper respiratory tract"	"J39.8"	4	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Pleural effusion, not elsewhere classified"	"J90"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Spontaneous tension pneumothorax"	"J93.0"	5	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Pneumothorax, unspecified"	"J93.9"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Respiratory disorder, unspecified"	"J98.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Unspecified appendicitis"	"K37"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Diaphragmatic hernia without obstruction or gangrene"	"K44.9"	46	40445070	0.00
	"Under 1 hour"	"01"	"Other specified abdominal hernia without obstruction or gangrene"	"K45.8"	1	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Crohn disease, unspecified"	"K50.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Acute vascular disorders of intestine"	"K55.0"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Haemoperitoneum"	"K66.1"	2	40445070	0.00 (Unreliable)
	"Under 1 hour"	"01"	"Fatty (change of) liver, not elsewhere classified"	"K76.0"	1	40445070	0.00 (Unreliable)
