"Notes"	"Age of Mother"	"Age of Mother Code"	"State"	"State Code"	"County"	"County Code"	Deaths	Births	Death Rate
	"15-19 years"	"15-19"	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	34	3325	10.23
	"15-19 years"	"15-19"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	24	3137	7.65
	"15-19 years"	"15-19"	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	33	2996	11.01
	"15-19 years"	"15-19"	"California"	"06"	"Los Angeles County, CA"	"06037"	27	5303	5.09
	"15-19 years"	"15-19"	"California"	"06"	"San Bernardino County, CA"	"06071"	16	1796	8.91 (Unreliable)
	"15-19 years"	"15-19"	"Florida"	"12"	"Duval County, FL"	"12031"	10	739	13.53 (Unreliable)
	"15-19 years"	"15-19"	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	29	2213	13.10
	"15-19 years"	"15-19"	"Georgia"	"13"	"DeKalb County, GA"	"13089"	10	554	18.05 (Unreliable)
	"15-19 years"	"15-19"	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	62	5798	10.69
	"15-19 years"	"15-19"	"Illinois"	"17"	"Cook County, IL"	"17031"	36	3395	10.60
	"15-19 years"	"15-19"	"Illinois"	"17"	"Unidentified Counties, IL"	"17999"	29	2514	11.54
	"15-19 years"	"15-19"	"Indiana"	"18"	"Marion County, IN"	"18097"	10	905	11.05 (Unreliable)
	"15-19 years"	"15-19"	"Indiana"	"18"	"Unidentified Counties, IN"	"18999"	23	3401	6.76
	"15-19 years"	"15-19"	"Kansas"	"20"	"Unidentified Counties, KS"	"20999"	11	1487	7.40 (Unreliable)
	"15-19 years"	"15-19"	"Kentucky"	"21"	"Unidentified Counties, KY"	"21999"	45	3541	12.71
	"15-19 years"	"15-19"	"Louisiana"	"22"	"Unidentified Counties, LA"	"22999"	30	3306	9.07
	"15-19 years"	"15-19"	"Michigan"	"26"	"Wayne County, MI"	"26163"	12	1381	8.69 (Unreliable)
	"15-19 years"	"15-19"	"Michigan"	"26"	"Unidentified Counties, MI"	"26999"	23	2383	9.65
	"15-19 years"	"15-19"	"Minnesota"	"27"	"Unidentified Counties, MN"	"27999"	16	1263	12.67 (Unreliable)
	"15-19 years"	"15-19"	"Mississippi"	"28"	"Unidentified Counties, MS"	"28999"	28	3326	8.42
	"15-19 years"	"15-19"	"Missouri"	"29"	"Unidentified Counties, MO"	"29999"	25	2795	8.94
	"15-19 years"	"15-19"	"Nevada"	"32"	"Clark County, NV"	"32003"	13	1559	8.34 (Unreliable)
	"15-19 years"	"15-19"	"New Mexico"	"35"	"Unidentified Counties, NM"	"35999"	10	1568	6.38 (Unreliable)
	"15-19 years"	"15-19"	"New York"	"36"	"Unidentified Counties, NY"	"36999"	16	1984	8.06 (Unreliable)
	"15-19 years"	"15-19"	"North Carolina"	"37"	"Unidentified Counties, NC"	"37999"	54	4989	10.82
	"15-19 years"	"15-19"	"North Dakota"	"38"	"Unidentified Counties, ND"	"38999"	10	469	21.32 (Unreliable)
	"15-19 years"	"15-19"	"Ohio"	"39"	"Cuyahoga County, OH"	"39035"	10	865	11.56 (Unreliable)
	"15-19 years"	"15-19"	"Ohio"	"39"	"Franklin County, OH"	"39049"	10	926	10.80 (Unreliable)
	"15-19 years"	"15-19"	"Ohio"	"39"	"Hamilton County, OH"	"39061"	11	581	18.93 (Unreliable)
	"15-19 years"	"15-19"	"Ohio"	"39"	"Montgomery County, OH"	"39113"	10	434	23.04 (Unreliable)
	"15-19 years"	"15-19"	"Ohio"	"39"	"Unidentified Counties, OH"	"39999"	41	3956	10.36
	"15-19 years"	"15-19"	"Oklahoma"	"40"	"Oklahoma County, OK"	"40109"	12	888	13.51 (Unreliable)
	"15-19 years"	"15-19"	"Oklahoma"	"40"	"Unidentified Counties, OK"	"40999"	26	2527	10.29
	"15-19 years"	"15-19"	"Pennsylvania"	"42"	"Philadelphia County, PA"	"42101"	14	1308	10.70 (Unreliable)
