GEOID,Race,Death Rate
1073,Black or African American,15.52
1089,Black or African American,12.4
1097,Black or African American,12.38
1999,Black or African American,12.96
2020,Black or African American,6.8
2999,Black or African American,11.36
4013,Black or African American,11.44
4019,Black or African American,9.93
4999,Black or African American,8.89
5119,Black or African American,12.49
5999,Black or African American,10.99
6001,Black or African American,8.93
6013,Black or African American,8.15
6019,Black or African American,15.75
6029,Black or African American,10.26
6037,Black or African American,9.19
6059,Black or African American,7.63
6065,Black or African American,9.7
6067,Black or African American,9.37
6071,Black or African American,11.33
6073,Black or African American,8.48
6075,Black or African American,11.42
6077,Black or African American,12.84
6081,Black or African American,6.73
6085,Black or African American,6.06
6095,Black or African American,9.3
6099,Black or African American,12.61
6107,Black or African American,8.5
6111,Black or African American,7.66
6999,Black or African American,8.91
8001,Black or African American,13.23
8005,Black or African American,11.13
8031,Black or African American,10.93
8041,Black or African American,10.14
8999,Black or African American,6.64
9001,Black or African American,10.51
9003,Black or African American,11.3
9009,Black or African American,10.52
9011,Black or African American,10.33
9999,Black or African American,9.46
10003,Black or African American,14.75
10999,Black or African American,9.67
11001,Black or African American,12.38
12009,Black or African American,12.32
12011,Black or African American,8.65
12021,Black or African American,10.68
12031,Black or African American,12.89
12033,Black or African American,13.46
12057,Black or African American,14.54
12069,Black or African American,15.15
12071,Black or African American,13.15
12073,Black or African American,10.02
12081,Black or African American,12.54
12083,Black or African American,14.24
12086,Black or African American,9.57
12095,Black or African American,11.39
12097,Black or African American,6.42
12099,Black or African American,8.88
12101,Black or African American,8.45
12103,Black or African American,13.82
12105,Black or African American,12.06
12111,Black or African American,11.72
12115,Black or African American,9.87
12117,Black or African American,11.74
12127,Black or African American,11.66
12999,Black or African American,12.34
13051,Black or African American,12.83
13063,Black or African American,10.29
13067,Black or African American,10.32
13089,Black or African American,9.46
13121,Black or African American,9.95
13135,Black or African American,9.59
13999,Black or African American,11.83
15003,Black or African American,11.97
16999,Black or African American,8.99
17031,Black or African American,13
17043,Black or African American,11.6
17089,Black or African American,10.99
17097,Black or African American,10.71
17119,Black or African American,14.06
17163,Black or African American,11.61
17197,Black or African American,12.19
17201,Black or African American,12.39
17999,Black or African American,14.2
18003,Black or African American,17.58
18089,Black or African American,12.75
18097,Black or African American,13.03
18141,Black or African American,15.42
18999,Black or African American,12.49
19153,Black or African American,11.33
19999,Black or African American,10.32
20091,Black or African American,11.82
20173,Black or African American,15.41
20999,Black or African American,12.15
21067,Black or African American,9.74
21111,Black or African American,10.1
21999,Black or African American,11.38
22017,Black or African American,16.99
22033,Black or African American,14.96
22051,Black or African American,10.23
22071,Black or African American,9.45
22999,Black or African American,11.11
23005,Black or African American,9.96
23999,Black or African American,8.32
24003,Black or African American,9.81
24005,Black or African American,11.27
