Notes,County,Birth Weight,Death Rate
,"Jefferson County, AL",499 grams or less,900
,"Jefferson County, AL",500 - 999 grams,206.90 (Unreliable)
,"Jefferson County, AL",2000 - 2499 grams,24.75 (Unreliable)
,"Jefferson County, AL",3000 - 3499 grams,3.11 (Unreliable)
Total,"Jefferson County, AL",,10.28
,"Madison County, AL",500 - 999 grams,270.27 (Unreliable)
Total,"Madison County, AL",,7.81
,"Mobile County, AL",499 grams or less,645.16
Total,"Mobile County, AL",,9.81
,"Unidentified Counties, AL",499 grams or less,814.43
,"Unidentified Counties, AL",500 - 999 grams,269.1
,"Unidentified Counties, AL",1000 - 1499 grams,57.8
,"Unidentified Counties, AL",1500 - 1999 grams,36.13
,"Unidentified Counties, AL",2000 - 2499 grams,9.55
,"Unidentified Counties, AL",2500 - 2999 grams,6.02
,"Unidentified Counties, AL",3000 - 3499 grams,2.76
,"Unidentified Counties, AL",3500 - 3999 grams,2.36
Total,"Unidentified Counties, AL",,8.78
Total,"Anchorage Borough, AK",,5.75
Total,"Unidentified Counties, AK",,4.78
,"Maricopa County, AZ",499 grams or less,901.1
,"Maricopa County, AZ",500 - 999 grams,176.47
,"Maricopa County, AZ",1000 - 1499 grams,54.38 (Unreliable)
,"Maricopa County, AZ",1500 - 1999 grams,35.71
,"Maricopa County, AZ",2000 - 2499 grams,11.71
,"Maricopa County, AZ",2500 - 2999 grams,2.92
,"Maricopa County, AZ",3000 - 3499 grams,1.86
,"Maricopa County, AZ",3500 - 3999 grams,1.29 (Unreliable)
Total,"Maricopa County, AZ",,5.47
,"Pima County, AZ",499 grams or less,909.09 (Unreliable)
,"Pima County, AZ",500 - 999 grams,244.44 (Unreliable)
Total,"Pima County, AZ",,4.47
Total,"Pinal County, AZ",,4.92
,"Unidentified Counties, AZ",499 grams or less,846.15 (Unreliable)
,"Unidentified Counties, AZ",500 - 999 grams,314.29
,"Unidentified Counties, AZ",3000 - 3499 grams,2.53 (Unreliable)
Total,"Unidentified Counties, AZ",,5.52
Total,"Pulaski County, AR",,7.85
,"Unidentified Counties, AR",499 grams or less,826.09
,"Unidentified Counties, AR",500 - 999 grams,213.54
,"Unidentified Counties, AR",1000 - 1499 grams,75.47
,"Unidentified Counties, AR",1500 - 1999 grams,46.55
,"Unidentified Counties, AR",2000 - 2499 grams,13.19
,"Unidentified Counties, AR",2500 - 2999 grams,7.13
,"Unidentified Counties, AR",3000 - 3499 grams,3.52
,"Unidentified Counties, AR",3500 - 3999 grams,2.69
,"Unidentified Counties, AR",4000 - 4499 grams,4.74 (Unreliable)
Total,"Unidentified Counties, AR",,8.26
,"Alameda County, CA",499 grams or less,785.71 (Unreliable)
