County ID,Race,Race Code,Deaths,Births,Death Rate
1073,Black or African American,2054-5,662,42655,15.52
1089,Black or African American,2054-5,152,12260,12.4
1097,Black or African American,2054-5,302,24396,12.38
1999,Black or African American,2054-5,1395,107618,12.96
2020,Black or African American,2054-5,23,3381,6.8
4013,Black or African American,2054-5,420,36714,11.44
4019,Black or African American,2054-5,61,6140,9.93
4999,Black or African American,2054-5,35,3939,8.89
5119,Black or African American,2054-5,300,24019,12.49
5999,Black or African American,2054-5,574,52213,10.99
6001,Black or African American,2054-5,219,24530,8.93
6013,Black or African American,2054-5,109,13375,8.15
6019,Black or African American,2054-5,151,9587,15.75
6029,Black or African American,2054-5,95,9263,10.26
6037,Black or African American,2054-5,1020,110973,9.19
6059,Black or African American,2054-5,45,5899,7.63
6065,Black or African American,2054-5,197,20301,9.7
6067,Black or African American,2054-5,248,26466,9.37
6071,Black or African American,2054-5,350,30885,11.33
6073,Black or African American,2054-5,218,25710,8.48
6075,Black or African American,2054-5,61,5343,11.42
6077,Black or African American,2054-5,118,9192,12.84
6085,Black or African American,2054-5,37,6110,6.06
6095,Black or African American,2054-5,77,8280,9.3
6099,Black or African American,2054-5,31,2458,12.61
6999,Black or African American,2054-5,72,8077,8.91
8001,Black or African American,2054-5,33,2494,13.23
8005,Black or African American,2054-5,115,10333,11.13
8031,Black or African American,2054-5,128,11713,10.93
8041,Black or African American,2054-5,80,7890,10.14
9001,Black or African American,2054-5,157,14933,10.51
9003,Black or African American,2054-5,197,17434,11.3
9009,Black or African American,2054-5,172,16351,10.52
9011,Black or African American,2054-5,25,2419,10.33
9999,Black or African American,2054-5,21,2221,9.46
10003,Black or African American,2054-5,304,20615,14.75
10999,Black or African American,2054-5,105,10853,9.67
11001,Black or African American,2054-5,646,52189,12.38
12009,Black or African American,2054-5,102,8280,12.32
12011,Black or African American,2054-5,762,88131,8.65
12021,Black or African American,2054-5,45,4214,10.68
12031,Black or African American,2054-5,627,48646,12.89
12033,Black or African American,2054-5,173,12856,13.46
12057,Black or African American,2054-5,567,38986,14.54
12069,Black or African American,2054-5,25,1650,15.15
12071,Black or African American,2054-5,133,10116,13.15
12073,Black or African American,2054-5,40,3993,10.02
12081,Black or African American,2054-5,76,6059,12.54
12083,Black or African American,2054-5,107,7516,14.24
12086,Black or African American,2054-5,760,79387,9.57
12095,Black or African American,2054-5,595,52234,11.39
12099,Black or African American,2054-5,414,46596,8.88
12101,Black or African American,2054-5,31,3670,8.45
12103,Black or African American,2054-5,243,17577,13.82
12105,Black or African American,2054-5,196,16254,12.06
12111,Black or African American,2054-5,32,2730,11.72
12115,Black or African American,2054-5,31,3141,9.87
12117,Black or African American,2054-5,97,8264,11.74
12127,Black or African American,2054-5,105,9009,11.66
12999,Black or African American,2054-5,954,77295,12.34
13051,Black or African American,2054-5,69,5377,12.83
13063,Black or African American,2054-5,84,8167,10.29
13067,Black or African American,2054-5,323,31308,10.32
13089,Black or African American,2054-5,576,60868,9.46
13121,Black or African American,2054-5,726,72941,9.95
13135,Black or African American,2054-5,329,34313,9.59
13999,Black or African American,2054-5,3324,280890,11.83
15003,Black or African American,2054-5,66,5513,11.97
17031,Black or African American,2054-5,2480,190720,13
17043,Black or African American,2054-5,75,6464,11.6
17089,Black or African American,2054-5,55,5003,10.99
17097,Black or African American,2054-5,85,7933,10.71
17119,Black or African American,2054-5,58,4124,14.06
17163,Black or African American,2054-5,160,13777,11.61
17197,Black or African American,2054-5,130,10664,12.19
17201,Black or African American,2054-5,90,7263,12.39
17999,Black or African American,2054-5,621,43721,14.2
