"Notes"	"County"	"County Code"	Deaths	Births	Death Rate
	"Jefferson County, AL"	"01073"	983	91579	10.73
	"Madison County, AL"	"01089"	332	41740	7.95
	"Mobile County, AL"	"01097"	512	57785	8.86
	"Unidentified Counties, AL"	"01999"	3522	414970	8.49
	"Anchorage Borough, AK"	"02020"	234	46436	5.04
	"Unidentified Counties, AK"	"02999"	406	66825	6.08
	"Maricopa County, AZ"	"04013"	3291	567145	5.80
	"Pima County, AZ"	"04019"	700	122981	5.69
	"Pinal County, AZ"	"04021"	79	13412	5.89
	"Unidentified Counties, AZ"	"04999"	1253	193502	6.48
	"Pulaski County, AR"	"05119"	473	57015	8.30
	"Unidentified Counties, AR"	"05999"	2478	333945	7.42
	"Alameda County, CA"	"06001"	845	198592	4.25
	"Contra Costa County, CA"	"06013"	524	125438	4.18
	"Fresno County, CA"	"06019"	1107	160712	6.89
	"Kern County, CA"	"06029"	921	144578	6.37
	"Los Angeles County, CA"	"06037"	6057	1341337	4.52
	"Marin County, CA"	"06041"	15	6941	2.16 (Unreliable)
	"Merced County, CA"	"06047"	46	12385	3.71
	"Monterey County, CA"	"06053"	323	67926	4.76
	"Orange County, CA"	"06059"	1476	393067	3.76
	"Placer County, CA"	"06061"	46	11110	4.14
	"Riverside County, CA"	"06065"	1543	311958	4.95
	"Sacramento County, CA"	"06067"	1060	201885	5.25
	"San Bernardino County, CA"	"06071"	1955	316702	6.17
	"San Diego County, CA"	"06073"	1920	447128	4.29
	"San Francisco County, CA"	"06075"	307	89691	3.42
	"San Joaquin County, CA"	"06077"	614	104724	5.86
	"San Luis Obispo County, CA"	"06079"	39	7845	4.97
	"San Mateo County, CA"	"06081"	284	92468	3.07
	"Santa Barbara County, CA"	"06083"	259	58622	4.42
	"Santa Clara County, CA"	"06085"	817	244811	3.34
	"Santa Cruz County, CA"	"06087"	129	31494	4.10
	"Solano County, CA"	"06095"	310	53025	5.85
	"Sonoma County, CA"	"06097"	200	52906	3.78
	"Stanislaus County, CA"	"06099"	456	79104	5.76
	"Tulare County, CA"	"06107"	438	79374	5.52
	"Ventura County, CA"	"06111"	528	108646	4.86
	"Unidentified Counties, CA"	"06999"	1971	397001	4.96
	"Adams County, CO"	"08001"	390	68626	5.68
	"Arapahoe County, CO"	"08005"	471	77059	6.11
	"Boulder County, CO"	"08013"	146	30350	4.81
	"Denver County, CO"	"08031"	625	103810	6.02
	"Douglas County, CO"	"08035"	32	10337	3.10
	"El Paso County, CO"	"08041"	547	91330	5.99
	"Jefferson County, CO"	"08059"	267	58595	4.56
	"Larimer County, CO"	"08069"	139	34184	4.07
	"Weld County, CO"	"08123"	63	12546	5.02
	"Unidentified Counties, CO"	"08999"	940	183259	5.13
	"Fairfield County, CT"	"09001"	472	104990	4.50
	"Hartford County, CT"	"09003"	611	97092	6.29
	"New Haven County, CT"	"09009"	564	92891	6.07
	"New London County, CT"	"09011"	151	27950	5.40
	"Unidentified Counties, CT"	"09999"	242	53691	4.51
	"New Castle County, DE"	"10003"	596	68211	8.74
	"Unidentified Counties, DE"	"10999"	290	45213	6.41
	"District of Columbia, DC"	"11001"	812	93126	8.72
	"Brevard County, FL"	"12009"	336	52373	6.42
	"Broward County, FL"	"12011"	1253	218844	5.73
	"Collier County, FL"	"12021"	199	34085	5.84
	"Duval County, FL"	"12031"	1099	129367	8.50
	"Escambia County, FL"	"12033"	342	39876	8.58
	"Hillsborough County, FL"	"12057"	1339	169795	7.89
	"Lake County, FL"	"12069"	74	9619	7.69
	"Lee County, FL"	"12071"	408	66630	6.12
	"Leon County, FL"	"12073"	61	9124	6.69
	"Manatee County, FL"	"12081"	246	35666	6.90
	"Marion County, FL"	"12083"	286	34791	8.22
	"Miami-Dade County, FL"	"12086"	1611	322031	5.00
	"Orange County, FL"	"12095"	1139	160614	7.09
	"Osceola County, FL"	"12097"	69	12707	5.43
	"Palm Beach County, FL"	"12099"	771	145215	5.31
	"Pasco County, FL"	"12101"	310	49846	6.22
	"Pinellas County, FL"	"12103"	619	86859	7.13
	"Polk County, FL"	"12105"	574	76203	7.53
	"St. Lucie County, FL"	"12111"	53	9070	5.84
	"Sarasota County, FL"	"12115"	151	29534	5.11
	"Seminole County, FL"	"12117"	262	45388	5.77
	"Volusia County, FL"	"12127"	315	49221	6.40
	"Unidentified Counties, FL"	"12999"	2916	430987	6.77
	"Chatham County, GA"	"13051"	102	12145	8.40
	"Clayton County, GA"	"13063"	104	11231	9.26
	"Cobb County, GA"	"13067"	617	98850	6.24
	"DeKalb County, GA"	"13089"	785	111088	7.07
	"Fulton County, GA"	"13121"	986	138938	7.10
	"Gwinnett County, GA"	"13135"	698	117399	5.95
	"Unidentified Counties, GA"	"13999"	6571	867242	7.58
	"Honolulu County, HI"	"15003"	806	134796	5.98
	"Unidentified Counties, HI"	"15999"	270	53649	5.03
	"Ada County, ID"	"16001"	251	52275	4.80
	"Unidentified Counties, ID"	"16999"	1029	180664	5.70
	"Cook County, IL"	"17031"	5113	721534	7.09
	"DuPage County, IL"	"17043"	517	108899	4.75
	"Kane County, IL"	"17089"	421	72349	5.82
	"Lake County, IL"	"17097"	426	83970	5.07
	"McHenry County, IL"	"17111"	146	34494	4.23
	"Madison County, IL"	"17119"	192	31975	6.00
	"St. Clair County, IL"	"17163"	270	35183	7.67
	"Will County, IL"	"17197"	530	84702	6.26
	"Winnebago County, IL"	"17201"	259	37923	6.83
	"Unidentified Counties, IL"	"17999"	2952	431487	6.84
	"Allen County, IN"	"18003"	420	52980	7.93
	"Hamilton County, IN"	"18057"	59	11518	5.12
	"Lake County, IN"	"18089"	527	62540	8.43
	"Marion County, IN"	"18097"	1305	147687	8.84
	"St. Joseph County, IN"	"18141"	301	35809	8.41
	"Unidentified Counties, IN"	"18999"	3616	539926	6.70
	"Polk County, IA"	"19153"	398	67763	5.87
	"Unidentified Counties, IA"	"19999"	1571	326349	4.81
	"Johnson County, KS"	"20091"	378	75166	5.03
	"Sedgwick County, KS"	"20173"	585	78073	7.49
	"Unidentified Counties, KS"	"20999"	1684	247895	6.79
	"Fayette County, KY"	"21067"	247	40393	6.11
	"Jefferson County, KY"	"21111"	653	101865	6.41
	"Unidentified Counties, KY"	"21999"	2938	423225	6.94
	"Caddo Parish, LA"	"22017"	486	37838	12.84
	"East Baton Rouge Parish, LA"	"22033"	680	61916	10.98
	"Jefferson Parish, LA"	"22051"	403	58956	6.84
