"Notes"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Births	Death Rate
	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	662	42655	15.52
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	317	46960	6.75
	"Madison County, AL"	"01089"	"Black or African American"	"2054-5"	152	12260	12.40
	"Madison County, AL"	"01089"	"White"	"2106-3"	177	28040	6.31
	"Mobile County, AL"	"01097"	"Black or African American"	"2054-5"	302	24396	12.38
	"Mobile County, AL"	"01097"	"White"	"2106-3"	198	31675	6.25
	"Unidentified Counties, AL"	"01999"	"Asian or Pacific Islander"	"A-PI"	33	5995	5.50
	"Unidentified Counties, AL"	"01999"	"Black or African American"	"2054-5"	1395	107618	12.96
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	2085	299903	6.95
	"Anchorage Borough, AK"	"02020"	"American Indian or Alaska Native"	"1002-5"	55	6085	9.04
	"Anchorage Borough, AK"	"02020"	"Asian or Pacific Islander"	"A-PI"	36	7504	4.80
	"Anchorage Borough, AK"	"02020"	"Black or African American"	"2054-5"	23	3381	6.80
	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	120	29466	4.07
	"Unidentified Counties, AK"	"02999"	"American Indian or Alaska Native"	"1002-5"	217	20946	10.36
	"Unidentified Counties, AK"	"02999"	"Asian or Pacific Islander"	"A-PI"	18	2894	6.22 (Unreliable)
	"Unidentified Counties, AK"	"02999"	"Black or African American"	"2054-5"	17	1497	11.36 (Unreliable)
	"Unidentified Counties, AK"	"02999"	"White"	"2106-3"	154	41488	3.71
	"Maricopa County, AZ"	"04013"	"American Indian or Alaska Native"	"1002-5"	116	17276	6.71
	"Maricopa County, AZ"	"04013"	"Asian or Pacific Islander"	"A-PI"	162	27007	6.00
	"Maricopa County, AZ"	"04013"	"Black or African American"	"2054-5"	420	36714	11.44
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	2593	486148	5.33
	"Pima County, AZ"	"04019"	"American Indian or Alaska Native"	"1002-5"	50	5737	8.72
	"Pima County, AZ"	"04019"	"Asian or Pacific Islander"	"A-PI"	17	4651	3.66 (Unreliable)
	"Pima County, AZ"	"04019"	"Black or African American"	"2054-5"	61	6140	9.93
	"Pima County, AZ"	"04019"	"White"	"2106-3"	573	106453	5.38
	"Pinal County, AZ"	"04021"	"American Indian or Alaska Native"	"1002-5"	10	1099	9.10 (Unreliable)
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	58	11285	5.14
	"Unidentified Counties, AZ"	"04999"	"American Indian or Alaska Native"	"1002-5"	322	35055	9.19
	"Unidentified Counties, AZ"	"04999"	"Asian or Pacific Islander"	"A-PI"	24	3261	7.36
	"Unidentified Counties, AZ"	"04999"	"Black or African American"	"2054-5"	35	3939	8.89
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	872	151247	5.77
	"Pulaski County, AR"	"05119"	"Black or African American"	"2054-5"	300	24019	12.49
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	164	31211	5.25
	"Unidentified Counties, AR"	"05999"	"American Indian or Alaska Native"	"1002-5"	11	2708	4.06 (Unreliable)
	"Unidentified Counties, AR"	"05999"	"Asian or Pacific Islander"	"A-PI"	53	7633	6.94
	"Unidentified Counties, AR"	"05999"	"Black or African American"	"2054-5"	574	52213	10.99
	"Unidentified Counties, AR"	"05999"	"White"	"2106-3"	1840	271391	6.78
	"Alameda County, CA"	"06001"	"Asian or Pacific Islander"	"A-PI"	223	64001	3.48
	"Alameda County, CA"	"06001"	"Black or African American"	"2054-5"	219	24530	8.93
	"Alameda County, CA"	"06001"	"White"	"2106-3"	402	109339	3.68
	"Contra Costa County, CA"	"06013"	"Asian or Pacific Islander"	"A-PI"	80	22797	3.51
	"Contra Costa County, CA"	"06013"	"Black or African American"	"2054-5"	109	13375	8.15
	"Contra Costa County, CA"	"06013"	"White"	"2106-3"	330	88730	3.72
	"Fresno County, CA"	"06019"	"American Indian or Alaska Native"	"1002-5"	11	1753	6.27 (Unreliable)
	"Fresno County, CA"	"06019"	"Asian or Pacific Islander"	"A-PI"	128	18799	6.81
	"Fresno County, CA"	"06019"	"Black or African American"	"2054-5"	151	9587	15.75
	"Fresno County, CA"	"06019"	"White"	"2106-3"	817	130573	6.26
	"Kern County, CA"	"06029"	"Asian or Pacific Islander"	"A-PI"	28	5851	4.79
	"Kern County, CA"	"06029"	"Black or African American"	"2054-5"	95	9263	10.26
	"Kern County, CA"	"06029"	"White"	"2106-3"	790	128282	6.16
