"Notes"	"Hispanic Origin"	"Hispanic Origin Code"	"Cause of death"	"Cause of death Code"	Deaths	Births	Death Rate
	"Mexican"	"2148-5"	"Viral intestinal infection, unspecified"	"A08.4"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	21	535993	0.04
	"Mexican"	"2148-5"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Whooping cough due to Bordetella pertussis"	"A37.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Whooping cough, unspecified"	"A37.9"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Meningococcaemia, unspecified"	"A39.4"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Septicaemia due to streptococcus, group B"	"A40.1"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Septicaemia, unspecified"	"A41.9"	14	535993	0.03 (Unreliable)
	"Mexican"	"2148-5"	"Haemophilus influenzae infection, unspecified"	"A49.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other bacterial infections of unspecified site"	"A49.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Bacterial infection, unspecified"	"A49.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Herpesviral encephalitis"	"B00.4"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Disseminated herpesviral disease"	"B00.7"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Enterovirus infection, unspecified"	"B34.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other viral infections of unspecified site"	"B34.8"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Hepatoblastoma - Malignant neoplasms"	"C22.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Haemangioma, any site - Benign neoplasms"	"D18.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Lymphangioma, any site - Benign neoplasms"	"D18.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Connective and other soft tissue, unspecified - Benign neoplasms"	"D21.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Brain, supratentorial - Uncertain neoplasms"	"D43.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Bone and articular cartilage - Uncertain neoplasms"	"D48.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Coagulation defect, unspecified"	"D68.9"	7	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Agranulocytosis"	"D70"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Haemophagocytic lymphohistiocytosis"	"D76.1"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Combined immunodeficiency, unspecified"	"D81.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Unspecified protein-energy malnutrition"	"E46"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other sphingolipidosis"	"E75.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Defects in post-translational modification of lysosomal enzymes"	"E77.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Defects of catalase and peroxidase"	"E80.3"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Disorders of iron metabolism"	"E83.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Hypo-osmolality and hyponatraemia"	"E87.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Acidosis"	"E87.2"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Hyperkalaemia"	"E87.5"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Metabolic disorder, unspecified"	"E88.9"	7	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Streptococcal meningitis"	"G00.2"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other bacterial meningitis"	"G00.8"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Bacterial meningitis, unspecified"	"G00.9"	4	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Meningitis, unspecified"	"G03.9"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Encephalitis, myelitis and encephalomyelitis, unspecified"	"G04.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Spinal muscular atrophy, unspecified"	"G12.9"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Other specified degenerative diseases of nervous system"	"G31.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Epilepsy, unspecified"	"G40.9"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Status epilepticus, unspecified"	"G41.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other specified polyneuropathies"	"G62.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Myoneural disorder, unspecified"	"G70.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Congenital myopathies"	"G71.2"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other specified myopathies"	"G72.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Myopathy, unspecified"	"G72.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Infantile cerebral palsy, unspecified"	"G80.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Encephalopathy, unspecified"	"G93.4"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Other specified disorders of brain"	"G93.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Acute myocardial infarction, unspecified"	"I21.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Ischaemic cardiomyopathy"	"I25.5"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Primary pulmonary hypertension"	"I27.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other secondary pulmonary hypertension"	"I27.2"	9	535993	0.02 (Unreliable)
	"Mexican"	"2148-5"	"Endocarditis, valve unspecified"	"I38"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Infective myocarditis"	"I40.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Dilated cardiomyopathy"	"I42.0"	6	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Obstructive hypertrophic cardiomyopathy"	"I42.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other hypertrophic cardiomyopathy"	"I42.2"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Endocardial fibroelastosis"	"I42.4"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Other cardiomyopathies"	"I42.8"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Cardiomyopathy, unspecified"	"I42.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other specified conduction disorders"	"I45.8"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Cardiac arrest, unspecified"	"I46.9"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Heart failure, unspecified"	"I50.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Myocarditis, unspecified"	"I51.4"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Cardiovascular disease, unspecified"	"I51.6"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Heart disease, unspecified"	"I51.9"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	2	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other specified cerebrovascular diseases"	"I67.8"	5	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Other specified noninfective disorders of lymphatic vessels and lymph nodes"	"I89.8"	3	535993	0.01 (Unreliable)
	"Mexican"	"2148-5"	"Acute laryngitis"	"J04.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Acute tracheitis"	"J04.1"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Influenza with pneumonia, virus not identified"	"J11.0"	1	535993	0.00 (Unreliable)
	"Mexican"	"2148-5"	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	1	535993	0.00 (Unreliable)
