LocationType,Location,Race,TimeFrame,DataFormat,Data
Nation,United States,American Indian,1999,Percent,0.071
Nation,United States,Asian and Pacific Islander,1999,Percent,0.074
Nation,United States,Black or African American,1999,Percent,0.131
Nation,United States,Hispanic or Latino,1999,Percent,0.064
Nation,United States,Non-Hispanic White,1999,Percent,0.066
Nation,United States,Total,1999,Percent,0.076
Nation,United States,American Indian,2000,Percent,0.068
Nation,United States,Asian and Pacific Islander,2000,Percent,0.073
Nation,United States,Black or African American,2000,Percent,0.13
Nation,United States,Hispanic or Latino,2000,Percent,0.064
Nation,United States,Non-Hispanic White,2000,Percent,0.066
Nation,United States,Total,2000,Percent,0.076
Nation,United States,American Indian,2001,Percent,0.073
Nation,United States,Asian and Pacific Islander,2001,Percent,0.075
Nation,United States,Black or African American,2001,Percent,0.13
Nation,United States,Hispanic or Latino,2001,Percent,0.065
Nation,United States,Non-Hispanic White,2001,Percent,0.068
Nation,United States,Total,2001,Percent,0.077
Nation,United States,American Indian,2002,Percent,0.072
Nation,United States,Asian and Pacific Islander,2002,Percent,0.078
Nation,United States,Black or African American,2002,Percent,0.133
Nation,United States,Hispanic or Latino,2002,Percent,0.065
Nation,United States,Non-Hispanic White,2002,Percent,0.069
Nation,United States,Total,2002,Percent,0.078
Nation,United States,American Indian,2003,Percent,0.074
Nation,United States,Asian and Pacific Islander,2003,Percent,0.078
Nation,United States,Black or African American,2003,Percent,0.134
Nation,United States,Hispanic or Latino,2003,Percent,0.067
Nation,United States,Non-Hispanic White,2003,Percent,0.07
Nation,United States,Total,2003,Percent,0.079
Nation,United States,American Indian,2004,Percent,0.074
Nation,United States,Asian and Pacific Islander,2004,Percent,0.079
Nation,United States,Black or African American,2004,Percent,0.134
Nation,United States,Hispanic or Latino,2004,Percent,0.068
Nation,United States,Non-Hispanic White,2004,Percent,0.072
Nation,United States,Total,2004,Percent,0.081
Nation,United States,Total,2004,Number,331772
Nation,United States,Non-Hispanic White,2004,Number,165271
Nation,United States,Hispanic or Latino,2004,Number,64183
Nation,United States,Black or African American,2004,Number,82699
Nation,United States,Asian and Pacific Islander,2004,Number,18072
Nation,United States,American Indian,2004,Number,3269
Nation,United States,Non-Hispanic White,2005,Number,166101
Nation,United States,Hispanic or Latino,2005,Number,67796
Nation,United States,Black or African American,2005,Number,85884
Nation,United States,Asian and Pacific Islander,2005,Number,18422
Nation,United States,American Indian,2005,Number,3293
Nation,United States,Total,2005,Number,338565
Nation,United States,American Indian,2005,Percent,0.074
Nation,United States,Asian and Pacific Islander,2005,Percent,0.08
Nation,United States,Black or African American,2005,Percent,0.136
Nation,United States,Hispanic or Latino,2005,Percent,0.069
Nation,United States,Non-Hispanic White,2005,Percent,0.073
Nation,United States,Total,2005,Percent,0.082
Nation,United States,American Indian,2006,Percent,0.075
Nation,United States,Asian and Pacific Islander,2006,Percent,0.081
Nation,United States,Black or African American,2006,Percent,0.136
Nation,United States,Hispanic or Latino,2006,Percent,0.07
Nation,United States,Non-Hispanic White,2006,Percent,0.073
Nation,United States,Total,2006,Percent,0.083
Nation,United States,Total,2006,Number,351974
Nation,United States,Non-Hispanic White,2006,Number,168871
Nation,United States,Hispanic or Latino,2006,Number,72538
Nation,United States,Black or African American,2006,Number,90445
Nation,United States,Asian and Pacific Islander,2006,Number,19539
Nation,United States,American Indian,2006,Number,3586
Nation,United States,Total,2007,Number,354333
Nation,United States,Non-Hispanic White,2007,Number,167986
Nation,United States,Hispanic or Latino,2007,Number,73661
Nation,United States,Black or African American,2007,Number,91422
Nation,United States,Asian and Pacific Islander,2007,Number,20601
Nation,United States,American Indian,2007,Number,3686
Nation,United States,American Indian,2007,Percent,0.075
Nation,United States,Asian and Pacific Islander,2007,Percent,0.081
Nation,United States,Black or African American,2007,Percent,0.136
Nation,United States,Hispanic or Latino,2007,Percent,0.069
Nation,United States,Non-Hispanic White,2007,Percent,0.073
Nation,United States,Total,2007,Percent,0.082
Nation,United States,American Indian,2008,Percent,0.074
Nation,United States,Asian and Pacific Islander,2008,Percent,0.082
Nation,United States,Black or African American,2008,Percent,0.134
Nation,United States,Hispanic or Latino,2008,Percent,0.07
Nation,United States,Non-Hispanic White,2008,Percent,0.072
Nation,United States,Total,2008,Percent,0.082
Nation,United States,Total,2008,Number,347209
Nation,United States,Non-Hispanic White,2008,Number,163561
Nation,United States,Hispanic or Latino,2008,Number,72398
Nation,United States,Black or African American,2008,Number,89659
Nation,United States,Asian and Pacific Islander,2008,Number,20685
Nation,United States,American Indian,2008,Number,3663
Nation,United States,Non-Hispanic White,2013,Number,148390
