State,State Code,County,County Code,Age of Mother,Age of Mother Code,Deaths,Births,Death Rate
Alabama,1,"Jefferson County, AL",1073,20-24 years,20-24,24,1886,12.73
Alabama,1,"Jefferson County, AL",1073,25-29 years,25-29,26,2650,9.81
Alabama,1,"Jefferson County, AL",1073,30-34 years,30-34,25,2384,10.49
Alabama,1,"Madison County, AL",1089,25-29 years,25-29,10,1360,7.35 (Unreliable)
Alabama,1,"Mobile County, AL",1097,20-24 years,20-24,17,1586,10.72 (Unreliable)
Alabama,1,"Mobile County, AL",1097,25-29 years,25-29,12,1751,6.85 (Unreliable)
Alabama,1,"Mobile County, AL",1097,30-34 years,30-34,14,1172,11.95 (Unreliable)
Alabama,1,"Unidentified Counties, AL",1999,15-19 years,15-19,34,3325,10.23
Alabama,1,"Unidentified Counties, AL",1999,20-24 years,20-24,117,11707,9.99
Alabama,1,"Unidentified Counties, AL",1999,25-29 years,25-29,97,12888,7.53
Alabama,1,"Unidentified Counties, AL",1999,30-34 years,30-34,81,8720,9.29
Alabama,1,"Unidentified Counties, AL",1999,35-39 years,35-39,25,3477,7.19
Arizona,4,"Maricopa County, AZ",4013,15-19 years,15-19,24,3137,7.65
Arizona,4,"Maricopa County, AZ",4013,20-24 years,20-24,74,11983,6.18
Arizona,4,"Maricopa County, AZ",4013,25-29 years,25-29,80,16024,4.99
Arizona,4,"Maricopa County, AZ",4013,30-34 years,30-34,67,14386,4.66
Arizona,4,"Maricopa County, AZ",4013,35-39 years,35-39,39,6970,5.60
Arizona,4,"Maricopa County, AZ",4013,40-44 years,40-44,10,1493,6.70 (Unreliable)
Arizona,4,"Pima County, AZ",4019,20-24 years,20-24,13,2674,4.86 (Unreliable)
Arizona,4,"Pima County, AZ",4019,25-29 years,25-29,17,3486,4.88 (Unreliable)
Arizona,4,"Pima County, AZ",4019,30-34 years,30-34,10,2893,3.46 (Unreliable)
Arizona,4,"Unidentified Counties, AZ",4999,20-24 years,20-24,19,4061,4.68 (Unreliable)
Arizona,4,"Unidentified Counties, AZ",4999,25-29 years,25-29,28,4447,6.30
