County,Death Rate
"Jefferson County, AL",10.28
"Madison County, AL",7.81
"Mobile County, AL",9.81
"Unidentified Counties, AL",8.78
"Anchorage Borough, AK",5.75
"Unidentified Counties, AK",4.78
"Maricopa County, AZ",5.47
"Pima County, AZ",4.47
"Pinal County, AZ",4.92
"Unidentified Counties, AZ",5.52
"Pulaski County, AR",7.85
"Unidentified Counties, AR",8.26
"Alameda County, CA",3.78
"Contra Costa County, CA",2.84
"Fresno County, CA",4.76
"Kern County, CA",4.81
"Los Angeles County, CA",4.3
"Merced County, CA",3.89
"Monterey County, CA",4.34
"Orange County, CA",2.97
"Riverside County, CA",4.76
"Sacramento County, CA",4.85
"San Bernardino County, CA",6.28
"San Diego County, CA",3.91
"San Francisco County, CA",2.10
"San Joaquin County, CA",4.29
"San Luis Obispo County, CA",4.65
"San Mateo County, CA",2.9
"Santa Barbara County, CA",4.91
"Santa Clara County, CA",3.47
"Santa Cruz County, CA",3.93
"Solano County, CA",5.89
"Sonoma County, CA",2.82
"Stanislaus County, CA",5.34
"Tulare County, CA",6.44
"Ventura County, CA",2.81
"Unidentified Counties, CA",4.54
"Adams County, CO",5.7
"Arapahoe County, CO",5.44
"Boulder County, CO",4.40
"Denver County, CO",5.1
"El Paso County, CO",5.58
"Jefferson County, CO",4.26
"Weld County, CO",5.34
"Fairfield County, CT",3.68
"Hartford County, CT",6.14
"New Haven County, CT",4.84
"New London County, CT",5.67
"Unidentified Counties, CT",3.82
"New Castle County, DE",9.54
"District of Columbia, DC",7.2
"Brevard County, FL",5.88
"Broward County, FL",5.41
"Collier County, FL",4.52
"Duval County, FL",8.2
"Escambia County, FL",8.57
"Hillsborough County, FL",7.16
"Lake County, FL",4.28
"Lee County, FL",6.52
"Leon County, FL",5.35
"Manatee County, FL",6.39
"Marion County, FL",10.66
"Miami-Dade County, FL",5.17
"Orange County, FL",7.21
"Osceola County, FL",6.01
"Palm Beach County, FL",4.21
"Pasco County, FL",7.44
"Pinellas County, FL",6.13
"Polk County, FL",7.05
"St. Lucie County, FL",6.00
"Sarasota County, FL",4.44
"Seminole County, FL",4.42
"Volusia County, FL",6.76
"Unidentified Counties, FL",6.1
"Chatham County, GA",7.8
"Clayton County, GA",11.03
"Cobb County, GA",6.16
"DeKalb County, GA",6.24
"Fulton County, GA",6.4
"Gwinnett County, GA",7.83
"Unidentified Counties, GA",7.73
"Honolulu County, HI",5.78
"Ada County, ID",4.56
"Cook County, IL",7.08
"DuPage County, IL",3.79
"Kane County, IL",5.96
"Lake County, IL",3.39
"McHenry County, IL",3.88
"Madison County, IL",7.87
"St. Clair County, IL",8.67
"Will County, IL",6.54
"Winnebago County, IL",7.01
"Unidentified Counties, IL",6.35
"Allen County, IN",8.35
"Hamilton County, IN",5.00
"Lake County, IN",8.31
"Marion County, IN",8.47
"St. Joseph County, IN",7.27
"Polk County, IA",8.24
"Unidentified Counties, IA",5.48
"Johnson County, KS",3.94
"Sedgwick County, KS",8.62
"Unidentified Counties, KS",5.82
"Fayette County, KY",5.13
"Jefferson County, KY",6.47
"Unidentified Counties, KY",7.02
"Caddo Parish, LA",11.3
"East Baton Rouge Parish, LA",10.78
"Jefferson Parish, LA",6.12
"Orleans Parish, LA",6.62
"Unidentified Counties, LA",7.73
"Cumberland County, ME",6.71
"Anne Arundel County, MD",6.17
"Baltimore County, MD",5.59
"Howard County, MD",4.76
"Montgomery County, MD",5.56
"Prince George's County, MD",7.81
"Baltimore city, MD",8.35
"Unidentified Counties, MD",6.48
"Bristol County, MA",3.54
"Essex County, MA",3.94
"Hampden County, MA",5.04
"Middlesex County, MA",3.26
"Norfolk County, MA",2.72
"Plymouth County, MA",3.89
"Suffolk County, MA",4.69
"Worcester County, MA",5.53
"Unidentified Counties, MA",3.26
"Genesee County, MI",9.55
"Ingham County, MI",6.74
"Kent County, MI",6.13
"Macomb County, MI",5.31
"Oakland County, MI",5.49
"Ottawa County, MI",4.65
"Washtenaw County, MI",6.23
"Wayne County, MI",8.51
"Unidentified Counties, MI",5.91
"Anoka County, MN",4.74
"Dakota County, MN",3.78
"Hennepin County, MN",5.4
"Ramsey County, MN",5.69
"Unidentified Counties, MN",5.14
"Unidentified Counties, MS",8.67
"Greene County, MO",6.71
"Jackson County, MO",6.7
"St. Charles County, MO",4.01
