County ID,Race,Race Code,Deaths,Births,Death Rate
1073,White,2106-3,317,46960,6.75
1089,White,2106-3,177,28040,6.31
1097,White,2106-3,198,31675,6.25
1999,White,2106-3,2085,299903,6.95
2020,White,2106-3,120,29466,4.07
2999,White,2106-3,154,41488,3.71
4013,White,2106-3,2593,486148,5.33
4019,White,2106-3,573,106453,5.38
4021,White,2106-3,58,11285,5.14
4999,White,2106-3,872,151247,5.77
5119,White,2106-3,164,31211,5.25
5999,White,2106-3,1840,271391,6.78
6001,White,2106-3,402,109339,3.68
6013,White,2106-3,330,88730,3.72
6019,White,2106-3,817,130573,6.26
6029,White,2106-3,790,128282,6.16
6037,White,2106-3,4301,1031366,4.17
6047,White,2106-3,41,10905,3.76
6053,White,2106-3,292,63078,4.63
6059,White,2106-3,1181,305276,3.87
6061,White,2106-3,40,9697,4.12
6065,White,2106-3,1249,267943,4.66
6067,White,2106-3,619,134720,4.59
6071,White,2106-3,1479,260488,5.68
6073,White,2106-3,1421,361775,3.93
6075,White,2106-3,164,54255,3.02
6077,White,2106-3,402,77560,5.18
6079,White,2106-3,35,7337,4.77
6081,White,2106-3,177,58790,3.01
6083,White,2106-3,244,54854,4.45
6085,White,2106-3,484,142371,3.4
6087,White,2106-3,121,29600,4.09
6095,White,2106-3,184,35479,5.19
6097,White,2106-3,177,48373,3.66
6099,White,2106-3,385,70886,5.43
6107,White,2106-3,410,74735,5.49
6111,White,2106-3,465,97333,4.78
6999,White,2106-3,1715,357335,4.8
8001,White,2106-3,336,62174,5.4
8005,White,2106-3,329,60958,5.4
8013,White,2106-3,133,27886,4.77
8031,White,2106-3,455,86327,5.27
8035,White,2106-3,27,9360,2.88
8041,White,2106-3,442,78477,5.63
8059,White,2106-3,248,54752,4.53
8069,White,2106-3,130,32539,4
8123,White,2106-3,60,11900,5.04
8999,White,2106-3,882,173536,5.08
9001,White,2106-3,291,81588,3.57
9003,White,2106-3,380,71876,5.29
9009,White,2106-3,358,71044,5.04
9011,White,2106-3,117,23453,4.99
9999,White,2106-3,206,49045,4.2
10003,White,2106-3,271,42578,6.36
10999,White,2106-3,183,33364,5.48
11001,White,2106-3,147,36238,4.06
12009,White,2106-3,228,42259,5.4
12011,White,2106-3,450,120356,3.74
12021,White,2106-3,151,29255,5.16
12031,White,2106-3,427,73448,5.81
12033,White,2106-3,160,25589,6.25
12057,White,2106-3,730,122850,5.94
12069,White,2106-3,48,7694,6.24
12071,White,2106-3,269,55226,4.87
12073,White,2106-3,20,4748,4.21
12081,White,2106-3,164,28681,5.72
12083,White,2106-3,175,26496,6.6
12086,White,2106-3,827,237333,3.48
12095,White,2106-3,505,98772,5.11
12097,White,2106-3,51,10020,5.09
12099,White,2106-3,340,92904,3.66
12101,White,2106-3,266,44415,5.99
12103,White,2106-3,360,64757,5.56
12105,White,2106-3,371,58193,6.38
12115,White,2106-3,112,25593,4.38
12117,White,2106-3,156,34569,4.51
12127,White,2106-3,204,38933,5.24
12999,White,2106-3,1888,339724,5.56
13051,White,2106-3,28,6296,4.45
13067,White,2106-3,277,61226,4.52
13089,White,2106-3,175,40436,4.33
13121,White,2106-3,221,55485,3.98
13135,White,2106-3,326,69529,4.69
13999,White,2106-3,3143,562483,5.59
15003,White,2106-3,181,40465,4.47
15999,White,2106-3,71,19111,3.72
16001,White,2106-3,236,48674,4.85
16999,White,2106-3,970,172919,5.61
17031,White,2106-3,2381,474345,5.02
17043,White,2106-3,382,87592,4.36
17089,White,2106-3,340,64131,5.3
17097,White,2106-3,311,68805,4.52
17111,White,2106-3,134,32778,4.09
17119,White,2106-3,130,27325,4.76
17163,White,2106-3,104,20628,5.04
17197,White,2106-3,373,69421,5.37
17201,White,2106-3,159,29485,5.39
17999,White,2106-3,2269,375850,6.04
18003,White,2106-3,257,41929,6.13
18057,White,2106-3,50,10301,4.85
18089,White,2106-3,256,40778,6.28
18097,White,2106-3,674,96168,7.01
18141,White,2106-3,188,27722,6.78
18999,White,2106-3,3273,505564,6.47
19153,White,2106-3,298,57057,5.22
19999,White,2106-3,1375,299997,4.58
20091,White,2106-3,299,65853,4.54
20173,White,2106-3,407,64582,6.3
20999,White,2106-3,1431,221626,6.46
21067,White,2106-3,173,31453,5.5
21111,White,2106-3,358,69862,5.12
21999,White,2106-3,2676,396125,6.76
22017,White,2106-3,109,15002,7.27
22033,White,2106-3,136,24372,5.58
22051,White,2106-3,168,34433,4.88
22071,White,2106-3,53,14133,3.75
22999,White,2106-3,1733,282952,6.12
23005,White,2106-3,135,25118,5.37
23999,White,2106-3,623,97611,6.38
24003,White,2106-3,243,52362,4.64
24005,White,2106-3,241,58040,4.15
24027,White,2106-3,25,5791,4.32
24031,White,2106-3,294,80034,3.67
24033,White,2106-3,223,37155,6
24510,White,2106-3,151,29060,5.2
24999,White,2106-3,763,164968,4.63
25005,White,2106-3,231,51307,4.5
25009,White,2106-3,274,69016,3.97
25013,White,2106-3,249,45584,5.46
25017,White,2106-3,428,134833,3.17
25021,White,2106-3,168,55193,3.04
25023,White,2106-3,155,41735,3.71
25025,White,2106-3,250,58010,4.31
25027,White,2106-3,398,75908,5.24
25999,White,2106-3,188,44047,4.27
26049,White,2106-3,217,35943,6.04
26065,White,2106-3,150,25133,5.97
26077,White,2106-3,26,7401,3.51
26081,White,2106-3,378,73505,5.14
26099,White,2106-3,400,74030,5.4
26125,White,2106-3,499,100565,4.96
26139,White,2106-3,41,9544,4.3
26161,White,2106-3,115,26597,4.32
26163,White,2106-3,720,119126,6.04
26999,White,2106-3,2343,413328,5.67
27003,White,2106-3,134,35027,3.83
27037,White,2106-3,149,43308,3.44
27053,White,2106-3,426,107482,3.96
27123,White,2106-3,214,43345,4.94
27999,White,2106-3,1501,327524,4.58
28049,White,2106-3,29,5526,5.25
28999,White,2106-3,1472,214493,6.86
29077,White,2106-3,53,9926,5.34
29095,White,2106-3,349,66039,5.28
29183,White,2106-3,199,41530,4.79
29189,White,2106-3,292,72591,4.02
29510,White,2106-3,93,19136,4.86
29999,White,2106-3,2573,416712,6.17
30999,White,2106-3,577,105429,5.47
31055,White,2106-3,310,66158,4.69
31109,White,2106-3,188,35967,5.23
31999,White,2106-3,651,128258,5.08
32003,White,2106-3,987,206950,4.77
32031,White,2106-3,278,47892,5.8
32999,White,2106-3,190,34271,5.54
33011,White,2106-3,160,39854,4.01
33015,White,2106-3,101,25444,3.97
